day_number,assignment_title,assignment_summary,tracker_prompt,field_key,field_label,field_type,field_required,field_options
18,Address micro-resentment,Call out something small before it builds.,What micro-resentment did you address?,reflection,Daily Reflection,long_text,FALSE,
19,Use neutral statements,Keep communication short and non-defensive.,What neutral phrase did you use?,reflection,Daily Reflection,long_text,FALSE,
20,Assertive request,Use the assertiveness formula in a real moment.,How did your assertive request go?,reflection,Daily Reflection,long_text,FALSE,
21,Weekly check-in,Review assertiveness progress.,What changed about your clarity this week?,reflection,Daily Reflection,long_text,FALSE,
22,Rehearse conflict,Plan how to respond to a predictable trigger.,What scenario did you rehearse?,reflection,Daily Reflection,long_text,FALSE,
23,Interrupt early,Use your sentence at the first sign of escalation.,Did you interrupt escalation early today?,reflection,Daily Reflection,long_text,FALSE,
24,Repair quickly,Make a quick repair after a tense moment.,What did you repair today?,reflection,Daily Reflection,long_text,FALSE,
25,Medium-sized commitment,Complete a meaningful planned task.,What commitment did you follow through on?,reflection,Daily Reflection,long_text,FALSE,
26,Warmth + clarity,Add warmth to a direct statement.,Where did you mix warmth and clarity?,reflection,Daily Reflection,long_text,FALSE,
27,Ask for feedback,Ask your wife what changes she feels.,What feedback did she give?,reflection,Daily Reflection,long_text,FALSE,
28,Update maintenance plan,Note what’s working and what needs support.,What will you keep doing?,reflection,Daily Reflection,long_text,FALSE,
29,Reflect highs/lows,Review best and hardest emotional moments.,What stood out today?,reflection,Daily Reflection,long_text,FALSE,
30,60-day preview talk,Share what you’re working on next.,What intention did you set?,reflection,Daily Reflection,long_text,FALSE,
31,Choose regulation anchor,Link a physical cue to your pause sentence.,Which cue did you anchor to today?,reflection,Daily Reflection,long_text,FALSE,
32,Name emotions,Practice identifying emotions in real time.,What emotions arose today?,reflection,Daily Reflection,long_text,FALSE,
33,Ground 3× today,Do 30–60 sec grounding three times.,When did grounding help?,reflection,Daily Reflection,long_text,FALSE,
34,Early interruption,Interrupt escalation as soon as it begins.,Where did you intervene early?,reflection,Daily Reflection,long_text,FALSE,
35,Slow tempo,Speak 15% slower with pauses.,How did slowing down change things?,reflection,Daily Reflection,long_text,FALSE,
36,Share insight with wife,Share an emotional insight you noticed.,What insight did you share?,reflection,Daily Reflection,long_text,FALSE,
37,Weekly check-in,Review regulation progress.,Where did you regulate well this week?,reflection,Daily Reflection,long_text,FALSE,
38,Recurring responsibility,Choose 1 recurring task to fully own.,How did you show ownership today?,reflection,Daily Reflection,long_text,FALSE,
39,Log commitments,Write all promises in one place.,What commitments did you record?,reflection,Daily Reflection,long_text,FALSE,
40,Re-commit twice,Adjust timing on two commitments responsibly.,Where did you adjust expectations?,reflection,Daily Reflection,long_text,FALSE,
41,Do something early,Complete a task ahead of schedule.,What did you do early today?,reflection,Daily Reflection,long_text,FALSE,
42,Repair an old slip,Fix a past dropped commitment.,What long-standing task did you repair?,reflection,Daily Reflection,long_text,FALSE,
43,Ask support question,“What can I do next week to support you?”,What did she ask for?,reflection,Daily Reflection,long_text,FALSE,
44,Weekly check-in,Review reliability patterns.,What reliability gains did you make?,reflection,Daily Reflection,long_text,FALSE,
45,Set neutral boundary,Use a boundary like “I need 10 minutes.”,What boundary did you set?,reflection,Daily Reflection,long_text,FALSE,
46,State preference early,State your preference clearly at start of day.,What preference did you express?,reflection,Daily Reflection,long_text,FALSE,
47,Uncomfortable convo,Have one low-stakes difficult conversation.,How did it go?,reflection,Daily Reflection,long_text,FALSE,
48,Redirect conversation,Use “Let’s slow down.”,What did redirecting change?,reflection,Daily Reflection,long_text,FALSE,
49,Assertive repair,Clarify something you said earlier.,Where did you repair assertively?,reflection,Daily Reflection,long_text,FALSE,
50,Daily appreciation,"Give your wife one warm, specific praise.",What did you appreciate today?,reflection,Daily Reflection,long_text,FALSE,
51,Weekly check-in,Review tone + clarity improvements.,What shifted this week?,reflection,Daily Reflection,long_text,FALSE,
52,Identify loops,Identify 3 recurring conflict loops.,What loop did you notice today?,reflection,Daily Reflection,long_text,FALSE,
53,Map loop #1,Write trigger → cue → escalation chain.,How clear is loop #1?,reflection,Daily Reflection,long_text,FALSE,
54,Practice loop #1 prevention,Apply your prevention plan.,How did prevention feel?,reflection,Daily Reflection,long_text,FALSE,
55,Map loop #2,Analyze pattern #2.,What did you learn about loop #2?,reflection,Daily Reflection,long_text,FALSE,
56,Practice loop #2 prevention,Interrupt loop #2 today.,How did you stop it?,reflection,Daily Reflection,long_text,FALSE,
57,Map loop #3,Analyze pattern #3.,Where does loop #3 begin?,reflection,Daily Reflection,long_text,FALSE,
58,Practice loop #3 prevention,Apply your prevention plan.,What shifted today?,reflection,Daily Reflection,long_text,FALSE,
59,Reflect on growth,Write what has improved + what needs work.,What growth stood out?,reflection,Daily Reflection,long_text,FALSE,
60,60-day conversation,Share progress + next goals with wife.,What did you two discuss?,reflection,Daily Reflection,long_text,FALSE,
61,Set daily intention,"Pick “Stay grounded,” “Lead with calm,” etc.",What intention did you choose?,reflection,Daily Reflection,long_text,FALSE,
62,Tone reset,Use “Let’s slow this down.”,How did your tone shift?,reflection,Daily Reflection,long_text,FALSE,
63,Regulate before talking,Pause → breathe → intention → speak.,Where did pre-regulation help?,reflection,Daily Reflection,long_text,FALSE,
64,Track sensations,Notice body changes during conflict.,What sensations came up?,reflection,Daily Reflection,long_text,FALSE,
65,Micro-assertiveness,Use 1–2 small clear statements.,What statement did you use?,reflection,Daily Reflection,long_text,FALSE,
66,Warmth + clarity,Pair kindness with directness.,Where did warmth help clarity?,reflection,Daily Reflection,long_text,FALSE,
67,Weekly reflection,Review emotional leadership growth.,Where were you steady this week?,reflection,Daily Reflection,long_text,FALSE,
68,Create house rhythm,Establish daily + weekly roles.,What rhythm did you follow?,reflection,Daily Reflection,long_text,FALSE,
69,Communication ritual,Ask: “What do you need today?”,What did she say she needed?,reflection,Daily Reflection,long_text,FALSE,
70,Fix friction point,Resolve one small nagging issue.,What did you fix?,reflection,Daily Reflection,long_text,FALSE,
71,Silent reliability,Help without announcing it.,Where did you help quietly?,reflection,Daily Reflection,long_text,FALSE,
72,Review commitments,Look at a month of reliability.,What patterns did you see?,reflection,Daily Reflection,long_text,FALSE,
73,Repair older promise,Fix an unresolved commitment.,What did you repair today?,reflection,Daily Reflection,long_text,FALSE,
74,Weekly check-in,Discuss reliability.,Where did trust grow?,reflection,Daily Reflection,long_text,FALSE,
75,Pause & resume,Take 2 minutes and come back on time.,How did pausing help?,reflection,Daily Reflection,long_text,FALSE,
76,Two-truths method,Use “I see your view AND I feel…”,What two truths did you express?,reflection,Daily Reflection,long_text,FALSE,
77,Clean honesty,"Use one clear, non-blaming truth.",What honesty did you express?,reflection,Daily Reflection,long_text,FALSE,
78,Deep listening,Listen 5 minutes without fixing.,What did you hear?,reflection,Daily Reflection,long_text,FALSE,
79,One-sentence need,Express your need clearly.,What need did you express?,reflection,Daily Reflection,long_text,FALSE,
80,Address past pattern,Take ownership of an old behavior.,What pattern did you address?,reflection,Daily Reflection,long_text,FALSE,
81,Weekly check-in,Review conflict handling.,What changed in conflict this week?,reflection,Daily Reflection,long_text,FALSE,
82,High-stress plan,Create shared plan for stressful tasks.,What plan did you make?,reflection,Daily Reflection,long_text,FALSE,
83,Be explicit early,State needs early in the day.,What did you express early?,reflection,Daily Reflection,long_text,FALSE,
84,Attend emotionally,Ask how she feels today.,What did she share?,reflection,Daily Reflection,long_text,FALSE,
85,Name internal shift,Describe what feels different inside you.,What shift did you feel?,reflection,Daily Reflection,long_text,FALSE,
86,Celebrate win,Acknowledge a positive change.,What win did you celebrate?,reflection,Daily Reflection,long_text,FALSE,
87,Reaffirm commitments,Restate your 3 promises.,How did she respond?,reflection,Daily Reflection,long_text,FALSE,
88,Weekly check-in,Discuss stability and emotional tone.,What felt stable this week?,reflection,Daily Reflection,long_text,FALSE,
89,Write identity statement,"Create: I stay calm, speak clearly, keep my word.",What identity did you write?,reflection,Daily Reflection,long_text,FALSE,
90,Final conversation,Review 90-day growth + ask what supports her now.,What did you two conclude?,reflection,Daily Reflection,long_text,FALSE,
