day_number,assignment_title,assignment_summary,tracker_prompt,field_key,field_label,field_type,field_required,field_options,field_key_2,field_label_2,field_type_2,field_required_2,field_options_2,field_key_3,field_label_3,field_type_3,field_required_3,field_options_3,field_key_4,field_label_4,field_type_4,field_required_4,field_options_4
23,Interrupt early,"Use your interrupt sentence as soon as you feel the earliest signs of escalation today. Even a small success here teaches your brain a new path. The value is in intervening early, not perfectly.",Did you interrupt escalation early today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
24,Repair quickly,"If tension arises, make a brief, sincere repair within minutes rather than letting distance grow. Quick repair strengthens trust and reduces lingering stress. Focus on warmth, responsibility, and reconnection.",What did you repair today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
25,Medium-sized commitment,"Complete a meaningful planned task today to reinforce trust and reliability. This is bigger than micro-commitments but still achievable. Treat it as evidence of your growing capacity to follow through.",What commitment did you follow through on?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
26,Warmth + clarity,"Practice pairing direct statements with warmth so that clarity doesn’t feel harsh. This helps keep conversations collaborative rather than adversarial. You are learning to be both kind and clear at the same time.",Where did you mix warmth and clarity?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
27,Ask for feedback,"Ask your wife how the past week has felt for her and listen without defensiveness. Her perspective will give you insight into what’s working and what still needs attention. Treat her feedback as valuable data, not criticism.",What feedback did she give?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
28,Update maintenance plan,"Review what strategies have been effective so far and decide which ones need reinforcement or adjustment. This helps you build a sustainable long-term plan. Write down what you want to keep, refine, or let go.",What will you keep doing?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
29,Reflect highs/lows,"Spend time reviewing both your strongest emotional moments and the hardest ones from today. This helps you see your growth and patterns more clearly. Treat this as ongoing emotional documentation.",What stood out today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
30,60-day preview talk,"Explain to your wife what you plan to work on in the next 30 days and why. This transparency helps her feel included and shows accountability. Set one clear intention you will carry forward.",What intention did you set?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
31,Choose regulation anchor,"Select one physical cue that reliably signals early activation—such as jaw tension or chest tightness—and intentionally pair it with your pause sentence. This creates a direct link between awareness and action. Over time, this anchor becomes an automatic internal reminder to slow down before escalation.",Which cue did you anchor to today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
32,Name emotions,"Practice identifying your emotions in real time, even if they feel mixed or unclear. Naming them helps reduce their intensity and gives you more choice in how you respond. Treat this as strengthening your emotional vocabulary and awareness.",What emotions arose today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
33,Ground 3× today,"Do a 30–60 second grounding exercise three separate times today, even if you’re not upset. This builds the habit of regulating your nervous system proactively rather than reactively. Regular grounding makes emotional recovery faster and easier during real conflicts.",When did grounding help?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
34,Early interruption,"Interrupt escalation as soon as you feel your body speeding up—before tone shifts or irritation becomes visible. This early intervention prevents the chain reaction that leads to outbursts. The win today is catching the moment early, not doing it perfectly.",Where did you intervene early?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
35,Slow tempo,"Slow your speech by about fifteen percent and allow brief pauses before responding. This gives your body space to stay regulated and reduces the likelihood of reactive communication. Speaking more slowly also signals calm and steadiness to your partner.",How did slowing down change things?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
36,Share insight with wife,"Tell your wife one emotional insight you noticed recently, even if it feels small. Sharing your internal process builds connection and helps her understand your effort. This also reinforces new self-awareness by speaking it out loud.",What insight did you share?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
37,Weekly check-in,"Review how well you regulated emotions this week and note where you improved and where challenges remained. Look at your patterns with curiosity rather than judgment. Use this reflection to set one or two stability goals for next week.",Where did you regulate well this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
38,Recurring responsibility,"Choose one recurring household or relationship responsibility that you commit to owning fully and consistently. This reinforces reliability through action rather than words. Follow through every time to strengthen trust.",How did you show ownership today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
39,Log commitments,"Write down every promise or plan you made today so nothing slips through the cracks. Tracking commitments helps prevent accidental drop-offs and strengthens accountability. Over time, this log becomes a record of your increasing reliability.",What commitments did you record?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
40,Re-commit twice,"Practice adjusting two commitments respectfully today when timing or circumstances shift, rather than abandoning them or pushing yourself into resentment. Re-committing models honesty and emotional maturity. This also shows your partner that you care about staying aligned.",Where did you adjust expectations?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
41,Do something early,"Complete one task earlier than expected to demonstrate initiative and presence. Finishing early strengthens trust because it shows you are thinking ahead rather than reacting at the last minute. Let the action speak for itself.",What did you do early today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
42,Repair an old slip,"Choose one dropped responsibility or forgotten commitment from the past and repair it today. This demonstrates accountability and shows that past mistakes do not define your current behavior. Completing an old repair often brings emotional relief and renewed trust.",What long-standing task did you repair?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
43,Ask support question,"Ask your wife directly: 'What can I do next week to support you?' and listen openly. This reframes support as an ongoing conversation rather than guesswork. Acting on what she asks deepens trust and partnership.",What did she ask for?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
44,Weekly check-in,"Review this week’s reliability patterns and pay attention to how consistent your behavior felt to both you and your partner. Look at what made follow-through easier or harder. Use these insights to shape next week’s commitments.",What reliability gains did you make?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
45,Set neutral boundary,"Practice setting a calm, clear boundary today—such as asking for ten minutes to reset—without defensiveness or withdrawal. A neutral boundary protects connection rather than disrupting it. The goal is to create space without increasing tension.",What boundary did you set?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
46,State preference early,"Express a preference early in the day to build confidence in speaking up before irritation accumulates. This prevents resentment and encourages clearer communication. Keep the preference small so the practice feels manageable.",What preference did you express?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
47,Uncomfortable convo,"Have one small difficult conversation you might normally avoid, using calm tone and simple language. Practicing low-stakes discomfort builds resilience for more meaningful conversations later. Focus on staying present rather than perfect.",How did it go?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
48,Redirect conversation,"Use a phrase like 'Let’s slow down' during a moment of tension to shift the tone without shutting down the conversation. This small interruption can prevent escalation and encourage clearer communication. Notice how the energy changes when you redirect.",What did redirecting change?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
49,Assertive repair,"If something you said earlier was unclear or unexpected, offer a brief, confident repair that brings clarity. Assertive repair strengthens connection because it shows responsibility and self-awareness. Keep the tone grounded and warm.",Where did you repair assertively?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
50,Daily appreciation,"Give your wife one specific, heartfelt appreciation that acknowledges something she did or the way she showed up. Specificity makes praise feel real and meaningful. Consistent appreciation helps rebuild emotional safety and connection.",What did you appreciate today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
51,Weekly check-in,"Reflect on your tone, clarity, and emotional steadiness this week. Identify where your communication felt healthier and where old patterns resurfaced. This awareness guides your next set of growth priorities.",What shifted this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
52,Identify loops,"Identify three recurring conflict loops that show up across different situations. Understanding these loops helps you recognize patterns sooner and disrupt them more effectively. Treat this as mapping your emotional system.",What loop did you notice today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
53,Map loop #1,"Describe the first conflict loop in detail, outlining the trigger, your initial cues, and the escalation chain that usually follows. Mapping it honestly helps demystify the pattern. This clarity is the first step toward meaningful change.",How clear is loop #1?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
54,Practice loop #1 prevention,"Apply your prevention strategies to interrupt loop #1 today before it gains momentum. Focus on using early cues and boundaries rather than waiting for escalation. Every successful interruption reinforces your new behavior.",How did prevention feel?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
55,Map loop #2,"Analyze the second conflict pattern, noting what typically sets it off and how your body and thoughts react. Understanding this loop helps you anticipate when you might need to regulate. Write it out to make the pattern more concrete.",What did you learn about loop #2?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
56,Practice loop #2 prevention,"Interrupt loop #2 today using early awareness and regulation tools. Even a small redirection counts as progress. The goal is to weaken the old pattern by choosing a different response repeatedly.",How did you stop it?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
57,Map loop #3,"Examine the third recurring conflict loop, paying attention to where it begins and how quickly it escalates. Naming the starting point helps you catch it earlier next time. Be honest about what typically derails you.",Where does loop #3 begin?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
58,Practice loop #3 prevention,"Apply your prevention strategies to loop #3 today, focusing on early cues and calm boundaries. This repetition strengthens your ability to stay grounded in difficult moments. Notice any shifts in your emotional experience.",What shifted today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
59,Reflect on growth,"Write about the improvements you’ve noticed in yourself as well as the areas that still need attention. This reflection helps consolidate emotional growth and highlights next steps. Treat it as a checkpoint, not a judgment.",What growth stood out?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
60,60-day conversation,"Talk with your wife about your progress so far, sharing both successes and struggles with openness. Ask for her perspective to understand how the changes feel on her side. Set one or two shared goals for the remaining 30 days.",What did you two discuss?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
61,Set daily intention,"Choose a simple grounding intention for the day—such as 'Stay calm,' 'Lead with clarity,' or 'Stay connected'—and hold it in mind as your emotional anchor. A daily intention guides your tone and choices throughout the day. This helps you respond deliberately rather than react impulsively.",What intention did you choose?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
62,Tone reset,"Practice using a gentle reset phrase like 'Let’s slow this down' whenever you feel your tone tightening. This quick shift helps prevent escalation and signals stability. It also reinforces your ability to regulate interactions in real time.",How did your tone shift?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
